id,scene_id,image,query_type,question,option_A,option_B,option_C,option_D,option_E,answer,answer_text,split_group,ood_axis,layout_family,lighting_condition,clutter_level,difficulty_tier,task_family
cw_scene004_q05,scene_004,images/scene_004.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-left,upper-right,center,lower-left,lower-right,A,upper-left,standard_holdout,standard,left_cassette,normal,low,easy,defect_audit
cw_scene004_q06,scene_004,images/scene_004.png,lot_code,What two-digit lot code is shown on the pod label?,46,58,84,35,12,B,58,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene004_q07,scene_004,images/scene_004.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 3?",2,4,1,5,3,B,4,standard_holdout,standard,left_cassette,normal,low,easy,route_memory
cw_scene005_q00,scene_005,images/scene_005.png,slot_color,Which cassette slot contains the blue wafer?,Slot 5,Slot 3,Slot 4,Slot 2,Slot 1,D,Slot 2,standard_holdout,standard,left_cassette,normal,low,easy,wafer_tracking
cw_scene005_q01,scene_005,images/scene_005.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,22,26,71,31,18,C,71,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene005_q02,scene_005,images/scene_005.png,led_state,Which module shows the red status LED?,Module D,Module B,Module C,Module E,Module A,E,Module A,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene005_q03,scene_005,images/scene_005.png,cable_connection,Which port is connected to the purple cable?,P3,P5,P1,P4,P2,C,P1,standard_holdout,standard,left_cassette,normal,low,easy,connection_audit
cw_scene005_q04,scene_005,images/scene_005.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station C,Station E,Station D,Station A,Station B,C,Station D,standard_holdout,standard,left_cassette,normal,low,easy,wafer_tracking
cw_scene005_q05,scene_005,images/scene_005.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-right,lower-right,lower-left,upper-left,center,D,upper-left,standard_holdout,standard,left_cassette,normal,low,easy,defect_audit
cw_scene005_q06,scene_005,images/scene_005.png,lot_code,What two-digit lot code is shown on the pod label?,11,83,44,28,42,D,28,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene005_q07,scene_005,images/scene_005.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 5?",4,1,5,2,3,D,2,standard_holdout,standard,left_cassette,normal,low,easy,route_memory
cw_scene006_q00,scene_006,images/scene_006.png,slot_color,Which cassette slot contains the blue wafer?,Slot 4,Slot 2,Slot 3,Slot 1,Slot 5,E,Slot 5,standard_holdout,standard,left_cassette,normal,low,easy,wafer_tracking
cw_scene006_q01,scene_006,images/scene_006.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,18,31,26,22,35,A,18,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene006_q02,scene_006,images/scene_006.png,led_state,Which module shows the amber status LED?,Module E,Module C,Module D,Module B,Module A,C,Module D,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene006_q03,scene_006,images/scene_006.png,cable_connection,Which port is connected to the purple cable?,P4,P2,P5,P3,P1,A,P4,standard_holdout,standard,left_cassette,normal,low,easy,connection_audit
cw_scene006_q04,scene_006,images/scene_006.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station C,Station A,Station E,Station D,Station B,E,Station B,standard_holdout,standard,left_cassette,normal,low,easy,wafer_tracking
cw_scene006_q05,scene_006,images/scene_006.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-right,center,lower-right,lower-left,upper-left,C,lower-right,standard_holdout,standard,left_cassette,normal,low,easy,defect_audit
cw_scene006_q06,scene_006,images/scene_006.png,lot_code,What two-digit lot code is shown on the pod label?,78,79,32,46,98,B,79,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene006_q07,scene_006,images/scene_006.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 5?",2,3,5,4,1,D,4,standard_holdout,standard,left_cassette,normal,low,easy,route_memory
cw_scene007_q00,scene_007,images/scene_007.png,slot_color,Which cassette slot contains the cyan wafer?,Slot 2,Slot 4,Slot 5,Slot 3,Slot 1,D,Slot 3,standard_holdout,standard,left_cassette,normal,low,easy,wafer_tracking
cw_scene007_q01,scene_007,images/scene_007.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,26,22,71,18,31,C,71,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene007_q02,scene_007,images/scene_007.png,led_state,Which module shows the cyan status LED?,Module A,Module C,Module E,Module D,Module B,E,Module B,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene007_q03,scene_007,images/scene_007.png,cable_connection,Which port is connected to the yellow cable?,P5,P1,P3,P4,P2,B,P1,standard_holdout,standard,left_cassette,normal,low,easy,connection_audit
cw_scene007_q04,scene_007,images/scene_007.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station D,Station C,Station E,Station A,Station B,A,Station D,standard_holdout,standard,left_cassette,normal,low,easy,wafer_tracking
cw_scene007_q05,scene_007,images/scene_007.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-left,center,upper-right,lower-right,upper-left,B,center,standard_holdout,standard,left_cassette,normal,low,easy,defect_audit
cw_scene007_q06,scene_007,images/scene_007.png,lot_code,What two-digit lot code is shown on the pod label?,88,78,73,35,65,E,65,standard_holdout,standard,left_cassette,normal,low,easy,instrument_reading
cw_scene007_q07,scene_007,images/scene_007.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 1?",5,4,1,3,2,A,5,standard_holdout,standard,left_cassette,normal,low,easy,route_memory
cw_scene008_q00,scene_008,images/scene_008.png,slot_color,Which cassette slot contains the amber wafer?,Slot 2,Slot 3,Slot 4,Slot 5,Slot 1,D,Slot 5,standard_holdout,standard,wide_ports,normal,low,easy,wafer_tracking
cw_scene008_q01,scene_008,images/scene_008.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,26,31,35,18,22,E,22,standard_holdout,standard,wide_ports,normal,low,easy,instrument_reading
cw_scene008_q02,scene_008,images/scene_008.png,led_state,Which module shows the red status LED?,Module B,Module A,Module C,Module D,Module E,D,Module D,standard_holdout,standard,wide_ports,normal,low,easy,instrument_reading
cw_scene008_q03,scene_008,images/scene_008.png,cable_connection,Which port is connected to the orange cable?,P2,P1,P4,P5,P3,D,P5,standard_holdout,standard,wide_ports,normal,low,easy,connection_audit
cw_scene008_q04,scene_008,images/scene_008.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station C,Station E,Station B,Station A,Station D,B,Station E,standard_holdout,standard,wide_ports,normal,low,easy,wafer_tracking
cw_scene008_q05,scene_008,images/scene_008.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-left,lower-left,lower-right,center,upper-right,E,upper-right,standard_holdout,standard,wide_ports,normal,low,easy,defect_audit
cw_scene008_q06,scene_008,images/scene_008.png,lot_code,What two-digit lot code is shown on the pod label?,30,51,64,73,39,B,51,standard_holdout,standard,wide_ports,normal,low,easy,instrument_reading
cw_scene008_q07,scene_008,images/scene_008.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 4?",5,3,1,2,4,D,2,standard_holdout,standard,wide_ports,normal,low,easy,route_memory
cw_scene009_q00,scene_009,images/scene_009.png,slot_color,Which cassette slot contains the amber wafer?,Slot 1,Slot 3,Slot 2,Slot 4,Slot 5,A,Slot 1,standard_holdout,standard,wide_ports,normal,low,easy,wafer_tracking
cw_scene009_q01,scene_009,images/scene_009.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,31,22,26,82,18,D,82,standard_holdout,standard,wide_ports,normal,low,easy,instrument_reading
cw_scene009_q02,scene_009,images/scene_009.png,led_state,Which module shows the green status LED?,Module B,Module E,Module D,Module C,Module A,B,Module E,standard_holdout,standard,wide_ports,normal,low,easy,instrument_reading
cw_scene009_q03,scene_009,images/scene_009.png,cable_connection,Which port is connected to the yellow cable?,P2,P1,P5,P3,P4,B,P1,standard_holdout,standard,wide_ports,normal,low,easy,connection_audit
cw_scene009_q04,scene_009,images/scene_009.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station C,Station E,Station D,Station B,Station A,D,Station B,standard_holdout,standard,wide_ports,normal,low,easy,wafer_tracking
cw_scene009_q05,scene_009,images/scene_009.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-right,lower-left,upper-left,center,upper-right,B,lower-left,standard_holdout,standard,wide_ports,normal,low,easy,defect_audit
cw_scene009_q06,scene_009,images/scene_009.png,lot_code,What two-digit lot code is shown on the pod label?,10,85,78,93,53,B,85,standard_holdout,standard,wide_ports,normal,low,easy,instrument_reading
cw_scene009_q07,scene_009,images/scene_009.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 5?",5,4,2,1,3,D,1,standard_holdout,standard,wide_ports,normal,low,easy,route_memory
cw_scene010_q00,scene_010,images/scene_010.png,slot_color,Which cassette slot contains the blue wafer?,Slot 1,Slot 4,Slot 3,Slot 2,Slot 5,D,Slot 2,standard_holdout,standard,wide_ports,normal,low,easy,wafer_tracking
cw_scene010_q01,scene_010,images/scene_010.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,18,26,31,22,76,E,76,standard_holdout,standard,wide_ports,normal,low,easy,instrument_reading
cw_scene010_q02,scene_010,images/scene_010.png,led_state,Which module shows the blue status LED?,Module B,Module D,Module E,Module A,Module C,A,Module B,standard_holdout,standard,wide_ports,normal,low,easy,instrument_reading
cw_scene010_q03,scene_010,images/scene_010.png,cable_connection,Which port is connected to the yellow cable?,P1,P4,P2,P5,P3,C,P2,standard_holdout,standard,wide_ports,normal,low,easy,connection_audit
cw_scene010_q04,scene_010,images/scene_010.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station E,Station D,Station B,Station A,Station C,D,Station A,standard_holdout,standard,wide_ports,normal,low,easy,wafer_tracking
cw_scene010_q05,scene_010,images/scene_010.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-right,center,lower-left,upper-left,upper-right,E,upper-right,standard_holdout,standard,wide_ports,normal,low,easy,defect_audit
cw_scene010_q06,scene_010,images/scene_010.png,lot_code,What two-digit lot code is shown on the pod label?,65,42,57,28,34,B,42,standard_holdout,standard,wide_ports,normal,low,easy,instrument_reading
cw_scene010_q07,scene_010,images/scene_010.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 3?",5,2,1,3,4,C,1,standard_holdout,standard,wide_ports,normal,low,easy,route_memory
cw_scene011_q00,scene_011,images/scene_011.png,slot_color,Which cassette slot contains the cyan wafer?,Slot 4,Slot 2,Slot 1,Slot 3,Slot 5,B,Slot 2,standard_holdout,standard,compact_panel,normal,low,easy,wafer_tracking
cw_scene011_q01,scene_011,images/scene_011.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,67,26,18,31,22,A,67,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene011_q02,scene_011,images/scene_011.png,led_state,Which module shows the red status LED?,Module E,Module B,Module C,Module A,Module D,C,Module C,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene011_q03,scene_011,images/scene_011.png,cable_connection,Which port is connected to the green cable?,P4,P5,P2,P1,P3,A,P4,standard_holdout,standard,compact_panel,normal,low,easy,connection_audit
cw_scene011_q04,scene_011,images/scene_011.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station D,Station B,Station C,Station E,Station A,C,Station C,standard_holdout,standard,compact_panel,normal,low,easy,wafer_tracking
cw_scene011_q05,scene_011,images/scene_011.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-left,upper-left,lower-right,center,upper-right,D,center,standard_holdout,standard,compact_panel,normal,low,easy,defect_audit
cw_scene011_q06,scene_011,images/scene_011.png,lot_code,What two-digit lot code is shown on the pod label?,26,71,82,98,42,A,26,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene011_q07,scene_011,images/scene_011.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 4?",2,3,5,4,1,B,3,standard_holdout,standard,compact_panel,normal,low,easy,route_memory
cw_scene012_q00,scene_012,images/scene_012.png,slot_color,Which cassette slot contains the blue wafer?,Slot 1,Slot 4,Slot 5,Slot 2,Slot 3,A,Slot 1,standard_holdout,standard,compact_panel,normal,low,easy,wafer_tracking
cw_scene012_q01,scene_012,images/scene_012.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,22,18,88,31,26,C,88,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene012_q02,scene_012,images/scene_012.png,led_state,Which module shows the green status LED?,Module E,Module D,Module B,Module C,Module A,B,Module D,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene012_q03,scene_012,images/scene_012.png,cable_connection,Which port is connected to the purple cable?,P3,P5,P2,P1,P4,C,P2,standard_holdout,standard,compact_panel,normal,low,easy,connection_audit
cw_scene012_q04,scene_012,images/scene_012.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station C,Station D,Station A,Station E,Station B,E,Station B,standard_holdout,standard,compact_panel,normal,low,easy,wafer_tracking
cw_scene012_q05,scene_012,images/scene_012.png,defect_location,Where is the magenta particle marker located on the cassette area?,center,lower-left,lower-right,upper-right,upper-left,C,lower-right,standard_holdout,standard,compact_panel,normal,low,easy,defect_audit
cw_scene012_q06,scene_012,images/scene_012.png,lot_code,What two-digit lot code is shown on the pod label?,60,75,49,56,15,E,15,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene012_q07,scene_012,images/scene_012.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 1?",5,4,2,3,1,C,2,standard_holdout,standard,compact_panel,normal,low,easy,route_memory
cw_scene013_q00,scene_013,images/scene_013.png,slot_color,Which cassette slot contains the blue wafer?,Slot 4,Slot 3,Slot 2,Slot 1,Slot 5,A,Slot 4,standard_holdout,standard,right_cassette,normal,low,easy,wafer_tracking
cw_scene013_q01,scene_013,images/scene_013.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,26,31,57,18,22,C,57,standard_holdout,standard,right_cassette,normal,low,easy,instrument_reading
cw_scene013_q02,scene_013,images/scene_013.png,led_state,Which module shows the red status LED?,Module C,Module E,Module A,Module D,Module B,E,Module B,standard_holdout,standard,right_cassette,normal,low,easy,instrument_reading
cw_scene013_q03,scene_013,images/scene_013.png,cable_connection,Which port is connected to the cyan cable?,P1,P3,P4,P2,P5,A,P1,standard_holdout,standard,right_cassette,normal,low,easy,connection_audit
cw_scene013_q04,scene_013,images/scene_013.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station A,Station D,Station B,Station E,Station C,E,Station C,standard_holdout,standard,right_cassette,normal,low,easy,wafer_tracking
cw_scene013_q05,scene_013,images/scene_013.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-right,lower-right,lower-left,upper-left,center,A,upper-right,standard_holdout,standard,right_cassette,normal,low,easy,defect_audit
cw_scene013_q06,scene_013,images/scene_013.png,lot_code,What two-digit lot code is shown on the pod label?,30,27,70,81,14,C,70,standard_holdout,standard,right_cassette,normal,low,easy,instrument_reading
cw_scene013_q07,scene_013,images/scene_013.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 2?",4,1,5,3,2,B,1,standard_holdout,standard,right_cassette,normal,low,easy,route_memory
cw_scene014_q00,scene_014,images/scene_014.png,slot_color,Which cassette slot contains the red wafer?,Slot 2,Slot 1,Slot 5,Slot 4,Slot 3,A,Slot 2,standard_holdout,standard,compact_panel,normal,low,easy,wafer_tracking
cw_scene014_q01,scene_014,images/scene_014.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,26,53,31,18,22,B,53,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene014_q02,scene_014,images/scene_014.png,led_state,Which module shows the blue status LED?,Module A,Module B,Module C,Module E,Module D,D,Module E,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene014_q03,scene_014,images/scene_014.png,cable_connection,Which port is connected to the yellow cable?,P5,P2,P3,P4,P1,D,P4,standard_holdout,standard,compact_panel,normal,low,easy,connection_audit
cw_scene014_q04,scene_014,images/scene_014.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station B,Station A,Station E,Station C,Station D,A,Station B,standard_holdout,standard,compact_panel,normal,low,easy,wafer_tracking
cw_scene014_q05,scene_014,images/scene_014.png,defect_location,Where is the magenta particle marker located on the cassette area?,center,lower-left,lower-right,upper-right,upper-left,D,upper-right,standard_holdout,standard,compact_panel,normal,low,easy,defect_audit
cw_scene014_q06,scene_014,images/scene_014.png,lot_code,What two-digit lot code is shown on the pod label?,41,32,28,29,14,A,41,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene014_q07,scene_014,images/scene_014.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 4?",1,5,4,3,2,E,2,standard_holdout,standard,compact_panel,normal,low,easy,route_memory
cw_scene015_q00,scene_015,images/scene_015.png,slot_color,Which cassette slot contains the cyan wafer?,Slot 3,Slot 4,Slot 1,Slot 2,Slot 5,A,Slot 3,standard_holdout,standard,compact_panel,normal,low,easy,wafer_tracking
cw_scene015_q01,scene_015,images/scene_015.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,62,22,18,31,26,A,62,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene015_q02,scene_015,images/scene_015.png,led_state,Which module shows the green status LED?,Module D,Module C,Module A,Module E,Module B,D,Module E,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene015_q03,scene_015,images/scene_015.png,cable_connection,Which port is connected to the purple cable?,P3,P5,P2,P4,P1,A,P3,standard_holdout,standard,compact_panel,normal,low,easy,connection_audit
cw_scene015_q04,scene_015,images/scene_015.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station D,Station B,Station E,Station A,Station C,B,Station B,standard_holdout,standard,compact_panel,normal,low,easy,wafer_tracking
cw_scene015_q05,scene_015,images/scene_015.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-right,center,lower-right,upper-left,lower-left,B,center,standard_holdout,standard,compact_panel,normal,low,easy,defect_audit
cw_scene015_q06,scene_015,images/scene_015.png,lot_code,What two-digit lot code is shown on the pod label?,71,29,11,68,10,A,71,standard_holdout,standard,compact_panel,normal,low,easy,instrument_reading
cw_scene015_q07,scene_015,images/scene_015.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 1?",3,2,4,5,1,B,2,standard_holdout,standard,compact_panel,normal,low,easy,route_memory
cw_scene016_q00,scene_016,images/scene_016.png,slot_color,Which cassette slot contains the amber wafer?,Slot 3,Slot 1,Slot 4,Slot 5,Slot 2,E,Slot 2,standard_holdout,low_light,wide_ports,low_light,medium,medium,wafer_tracking
cw_scene016_q01,scene_016,images/scene_016.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,31,18,22,76,26,D,76,standard_holdout,low_light,wide_ports,low_light,medium,medium,instrument_reading
cw_scene016_q02,scene_016,images/scene_016.png,led_state,Which module shows the green status LED?,Module C,Module A,Module E,Module D,Module B,B,Module A,standard_holdout,low_light,wide_ports,low_light,medium,medium,instrument_reading
cw_scene016_q03,scene_016,images/scene_016.png,cable_connection,Which port is connected to the yellow cable?,P2,P4,P3,P1,P5,A,P2,standard_holdout,low_light,wide_ports,low_light,medium,medium,connection_audit
cw_scene016_q04,scene_016,images/scene_016.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station A,Station E,Station B,Station D,Station C,A,Station A,standard_holdout,low_light,wide_ports,low_light,medium,medium,wafer_tracking
cw_scene016_q05,scene_016,images/scene_016.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-right,upper-left,upper-right,lower-left,center,C,upper-right,standard_holdout,low_light,wide_ports,low_light,medium,medium,defect_audit
cw_scene016_q06,scene_016,images/scene_016.png,lot_code,What two-digit lot code is shown on the pod label?,71,36,66,17,32,C,66,standard_holdout,low_light,wide_ports,low_light,medium,medium,instrument_reading
cw_scene016_q07,scene_016,images/scene_016.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 4?",5,4,3,1,2,A,5,standard_holdout,low_light,wide_ports,low_light,medium,medium,route_memory
